id_election,rang1_Prénom,rang2_Prénom,rang1_Nom,rang2_Nom,rang1_Nuance,rang2_Nuance,rang1_voix_pct,rang2_voix_pct,election,tour,annee,dep_x,Prénom Président,Nom Président,dep_y,Nuance_interco,insee,dept,Code INSEE,Code Postal
2014_muni_t1,Jean-Claude,,DESCHIZEAUX,,LDVD,,100.0,,2014_muni,t1,2014,01,Jean Claude,deschizeaux,01,LDVD,01258,01,01258,01090
2014_muni_t1,Jean,,DEGUERRY,,LDVD,,100.0,,2014_muni,t1,2014,01,Jean,deguerry,01,LDVD,01265,01,01265,01460
2014_muni_t1,Jean-Pierre,Patrick,ROCHE,LAUBRIAT,LDVG,LDIV,67.7626303127506,32.2373696872494,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01266,01,01266,01340
2014_muni_t1,Arlette,Michel,BERGER,GENOUX,LDVG,LDVD,57.14285714285714,42.857142857142854,2014_muni,t1,2014,01,Jean,deguerry,01,LDVD,01267,01,01267,01460
2014_muni_t1,Jean-Pierre,Claude,CARMINATI,MERCIER,LDVD,LDVG,76.93032015065914,23.069679849340865,2014_muni,t1,2014,01,Jean,deguerry,01,LDVD,01269,01,01269,01130
2014_muni_t1,Florent,Michel,CHEVREL,JEULIN,LDIV,LDIV,51.06382978723404,48.93617021276596,2014_muni,t1,2014,01,MICHEL,girer,01,LDVD,01272,01,01272,01400
2014_muni_t1,Thierry,Gérard,DUPUIS,GOULETTE,LDVG,LDIV,63.20630749014454,36.793692509855454,2014_muni,t1,2014,01,Thierry,dupuis,01,LDVG,01273,01,01273,01160
2014_muni_t1,André,Anne-Christine,GADIOLET,DUBOST,LDIV,LDVD,57.54141238012206,42.45858761987794,2014_muni,t1,2014,01,Pascal,protiere,01,LDVG,01275,01,01275,01700
2014_muni_t1,Patrick,Michel,BATTISTA,DAMIRON,LDVD,LDVD,58.64661654135338,41.35338345864661,2014_muni,t1,2014,01,Philippe,guillot vignot,01,LDVD,01276,01,01276,01120
2014_muni_t1,Jean-François,Jacques,OBEZ,MERCIER,LDVD,LDVG,51.82232346241457,48.17767653758543,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01281,01,01281,01210
2014_muni_t1,Michel,Mylène,PERRAUD,FERRI,LDVD,LDVG,53.403234405544694,17.398258397014395,2014_muni,t1,2014,01,Jean,deguerry,01,LDVD,01283,01,01283,01100
2014_muni_t1,Vincent,Xavier,LAUTIER,CHALANDON,LDIV,LDVD,50.4725897920605,49.52741020793951,2014_muni,t1,2014,01,Bernard,grison,01,LDVD,01285,01,01285,01600
2014_muni_t1,Christian,Alain,ARMAND,BLANC,LDVG,LDVD,66.35514018691589,33.64485981308411,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01288,01,01288,01630
2014_muni_t1,Christian,Pascal,CHANEL,FAYARD,LDVD,LDVG,64.60531102218988,35.39468897781011,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01289,01,01289,01960
2014_muni_t1,Christian,Bernard,BERNARD,BIENVENU,LDVD,LDVD,55.83524027459954,44.16475972540046,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01301,01,01301,01310
2014_muni_t1,Gérard,Richard,GUICHARD,DILAS,LDIV,LDIV,65.48582995951418,34.51417004048583,2014_muni,t1,2014,01,Thierry,dupuis,01,LDVG,01304,01,01304,01160
2014_muni_t1,Philippe,Cécile,COILLARD,PATRIARCA,LUMP,LDIV,51.43540669856459,48.5645933014354,2014_muni,t1,2014,01,GUY,billoudet,01,LDVD,01305,01,01305,01190
2014_muni_t1,Jean Paul,,MOUTOT,,LDVD,,100.0,,2014_muni,t1,2014,01,CHRISTOPHE,greffet,01,UG,01306,01,01306,01290
2014_muni_t1,Aurélie,Jean-Paul,CHARILLON,LAURENSON,LDVD,LDVG,54.372019077901435,45.62798092209857,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01313,01,01313,01280
2014_muni_t1,Bertrand,François,VERNOUX,PAQUELIER,LUMP,LDVD,63.06517909571344,36.93482090428655,2014_muni,t1,2014,01,GUY,billoudet,01,LDVD,01320,01,01320,01750
2014_muni_t1,Jacky,Olivier,DUTRUC,EYRAUD,LDVG,LDVD,54.66254507985574,45.33745492014425,2014_muni,t1,2014,01,Bernard,grison,01,LDVD,01322,01,01322,01600
2014_muni_t1,Jean-Pierre,Armand,BARON,ROSENBERG,LDVD,LDVG,61.78217821782178,38.21782178217822,2014_muni,t1,2014,01,MICHEL,girer,01,LDVD,01333,01,01333,01390
2014_muni_t1,Bernard,,QUIVET,,LDVG,,100.0,,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01336,01,01336,01960
2014_muni_t1,Jean-Jacques,,WILLIG,,LDVG,,100.0,,2014_muni,t1,2014,01,GUY,billoudet,01,LDVD,01337,01,01337,01190
2014_muni_t1,Bernard,Audrey,REY,BLANC-MONOT,LDVD,LDIV,62.055837563451774,37.944162436548226,2014_muni,t1,2014,01,Bernard,grison,01,LDVD,01339,01,01339,01600
2014_muni_t1,Alain,,CHALTON,,LDVD,,100.0,,2014_muni,t1,2014,01,CHRISTOPHE,greffet,01,UG,01343,01,01343,01380
2014_muni_t1,Guillaume,Jean-Luc,FAUVET,BATHIAS,LDVG,LDVD,66.13092904743237,33.86907095256762,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01344,01,01344,01000
2014_muni_t1,Pascal,Roland,COLLIGNON,GARCIA,LDVD,LDIV,67.59956942949408,32.400430570505925,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01345,01,01345,01500
2014_muni_t1,Frédéric,Marie-Claire,VALLOS,DUHAUT,LDIV,LDVG,50.701186623516726,49.29881337648328,2014_muni,t1,2014,01,Bernard,grison,01,LDVD,01347,01,01347,01600
2014_muni_t1,Muriel,,LUGA GIRAUD,,LDVG,,100.0,,2014_muni,t1,2014,01,Jean Claude,deschizeaux,01,LDVD,01348,01,01348,01140
2014_muni_t1,Alain,Denis,CHAPUIS,PERRON,LDVD,LDVG,64.53697056712132,35.46302943287868,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01350,01,01350,01370
2014_muni_t1,Serge,,VARVIER,,LDVD,,100.0,,2014_muni,t1,2014,01,Jean Claude,deschizeaux,01,LDVD,01351,01,01351,01140
2014_muni_t1,Anny,Daniel,SANLAVILLE,DELAGNEAU,LDVD,LDIV,67.88321167883211,32.11678832116788,2014_muni,t1,2014,01,Bernard,grison,01,LDVD,01353,01,01353,01600
2014_muni_t1,Hubert,Michèle,BERTRAND,CHENU-DURAFOUR,LDVG,LUDI,51.50044130626655,48.499558693733455,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01354,01,01354,01630
2014_muni_t1,Michel,Frédéric,BRULHART,DESBORDES,LDVD,LDIV,72.21297836938436,27.787021630615637,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01360,01,01360,01630
2014_muni_t1,Jean-Pierre,Jean-Paul,HERMAN,TRIGNAC,LDVD,LDIV,56.8988173455979,43.1011826544021,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01361,01,01361,01800
2014_muni_t1,Christian,Jean-Luc,BATAILLY,ORSET,LDVD,LUMP,54.649827784156145,45.35017221584386,2014_muni,t1,2014,01,Thierry,dupuis,01,LDVG,01363,01,01363,01640
2014_muni_t1,Edmond-Marcel,,GREZAUD,,LDIV,,100.0,,2014_muni,t1,2014,01,CHRISTOPHE,greffet,01,UG,01365,01,01365,01290
2014_muni_t1,Jean-Pierre,,PAGNEUX,,LDVD,,100.0,,2014_muni,t1,2014,01,Jean-Patrick,courtois,71,LUD,01370,71,01370,01750
2014_muni_t1,Dominique,,TURC,,LDVD,,100.0,,2014_muni,t1,2014,01,Jean,deguerry,01,LDVD,01373,01,01373,01430
2014_muni_t1,Laurent,,PAUCOD,,LDVD,,100.0,,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01374,01,01374,01160
2014_muni_t1,Pierre,Michel,GOUBET,BECAVIN,LDVG,LDVD,65.84481508339375,34.15518491660624,2014_muni,t1,2014,01,Pascal,protiere,01,LDVG,01376,01,01376,01700
2014_muni_t1,Fabrice,Vanessa,VENET,OLLIER,LDVG,LDVD,58.911325724319575,41.08867427568042,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01378,01,01378,01800
2014_muni_t1,Roland,Gilbert,BERNIGAUD,LIMANDAS,LDVD,LDVD,52.61538461538462,47.38461538461539,2014_muni,t1,2014,01,MICHEL,girer,01,LDVD,01383,01,01383,01240
2014_muni_t1,Gilbert,Antoine,BOUCHON,VERNAY-VIGNON,LDVG,LDVD,67.7536231884058,32.2463768115942,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01384,01,01384,01230
2014_muni_t1,Patrick,,MILLET,,LDVD,,100.0,,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01386,01,01386,01150
2014_muni_t1,Michel,Gilles,BRUNET,PEISSON,LUMP,LDVG,67.48971193415639,32.510288065843625,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01388,01,01388,01560
2014_muni_t1,Marcel,Madeleine,LANIER,CORNUAULT,LDIV,LDVD,52.66497461928934,35.91370558375635,2014_muni,t1,2014,01,MICHEL,girer,01,LDVD,01389,01,01389,01990
2014_muni_t1,Martial,,MONTEGRE,,LDVD,,100.0,,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01396,01,01396,01150
2014_muni_t1,Isabelle,Jacques,HENNIQUAU,TOULLIEUX,LDIV,LDVD,53.97260273972603,46.02739726027397,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01397,01,01397,01220
2014_muni_t1,Richard,,SIMMINI,,LDVD,,100.0,,2014_muni,t1,2014,01,Bernard,grison,01,LDVD,01398,01,01398,01480
2014_muni_t1,Jean-Pierre,André,FOUILLOUX,MOSER,LDVD,LDVG,61.95462478184991,38.045375218150085,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01399,01,01399,01170
2014_muni_t1,Denis,Philippe,LINGLIN,LABBADI,LDVG,LDVD,59.069020866773684,40.93097913322632,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01401,01,01401,01630
2014_muni_t1,Daniel,,BÉGUET,,LDVG,,100.0,,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01403,01,01403,01470
2014_muni_t1,Gérard,,GAVILLON,,LDVD,,100.0,,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01405,01,01405,01960
2014_muni_t1,Marc,Jean-Bruno,PERROT,PAYET,LDVG,LDIV,54.40528634361234,45.59471365638766,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01416,01,01416,01230
2014_muni_t1,Bruno,Serge,LOUSTALET,MANIE,LDIV,LDIV,54.81481481481482,45.18518518518518,2014_muni,t1,2014,01,Pascal,protiere,01,LDVG,01418,01,01418,01120
2014_muni_t1,Muriel,Béatrice,BENIER,COTIER,LDVD,LDVD,52.576687116564415,47.42331288343558,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01419,01,01419,01710
2014_muni_t1,Maurice,,VOISIN,,LDVD,,100.0,,2014_muni,t1,2014,01,Jean Claude,deschizeaux,01,LDVD,01420,01,01420,01140
2014_muni_t1,Roger,Pascal,FENET,GROSBON,LDVG,LDIV,61.29985228951256,38.70014771048744,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01422,01,01422,01250
2014_muni_t1,Henri,,MERCANTI,,LDVD,,100.0,,2014_muni,t1,2014,01,Pascal,protiere,01,LDVG,01424,01,01424,01390
2014_muni_t1,Monique,Philippe,WIEL,ROBIN,LDVG,LDVG,55.80969807868252,44.19030192131748,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01426,01,01426,01370
2014_muni_t1,Marc,Michel,PECHOUX,RAYMOND,LDVD,LDVG,55.80554439533949,44.194455604660504,2014_muni,t1,2014,01,Bernard,grison,01,LDVD,01427,01,01427,01600
2014_muni_t1,Bruno,Vincent,COLSON,SCARFO,LDIV,LDVD,85.80968280467445,14.190317195325541,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01431,01,01431,01150
2014_muni_t1,Jacques,Brigitte,DUBOUT,JUILLARD,LDVD,LDIV,52.715654952076676,47.284345047923324,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01435,01,01435,01210
2014_muni_t1,Pierre,Gabriel,LARRIEU,HUMBERT,LDVD,LDVG,59.278088459583124,40.721911540416876,2014_muni,t1,2014,01,MICHEL,girer,01,LDVD,01443,01,01443,01330
2014_muni_t1,Marc,,LONGATTE,,LDIV,,100.0,,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01444,01,01444,01150
2014_muni_t1,Raymond,Marc,MOUSSY,JACQUET,LDVD,LDIV,50.9009009009009,49.0990990990991,2014_muni,t1,2014,01,Bernard,grison,01,LDVD,01446,01,01446,01480
2014_muni_t1,Gérard,,BALLAND,,LUMP,,100.0,,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01447,01,01447,01250
2014_muni_t1,Eric,,BEAUFORT,,LDVD,,100.0,,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01450,01,01450,01800
2014_muni_t1,Bernard,Catherine,PERRET,MERCIER,LDVD,LDVG,75.57200538358008,24.42799461641992,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01451,01,01451,01440
2014_muni_t1,Georges,,GERIN,,LDVD,,100.0,,2014_muni,t1,2014,01,RENE,vuillerod,01,LREM,01452,01,01452,01510
2014_muni_t1,Patrick,,CHAIZE,,LUMP,,100.0,,2014_muni,t1,2014,01,CHRISTOPHE,greffet,01,UG,01457,01,01457,01540
