Code INSEE,Code Postal,Nuance_interco,annee,dep_x,dep_y,dept,election,president_nom,president_prenom,tour,Nom,prenom,Nuance,voix_pct_
01241,01370,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
01243,01480,LDVD,2014,01,01,01,2014_muni,deschizeaux,Jean Claude,t1,GELAS,Vincent,LDIV,67.0608108108108
01243,01480,LDVD,2014,01,01,01,2014_muni,deschizeaux,Jean Claude,t1,FORTIN,Claude,LDIV,32.939189189189186
01244,01800,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t1,BUSSY,Christian,LDVD,67.12126796903797
01244,01800,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t1,CAVET,Arnaud,LDVG,32.878732030962034
01246,01660,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,ROBIN,Etienne,LDVD,56.71462829736211
01246,01660,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,DUPUIT,Guy,LDIV,43.28537170263789
01248,01390,LDVD,2014,01,01,01,2014_muni,girer,MICHEL,t1,CORMORECHE,Henri,LDVD,100.0
01248,01390,LDVD,2014,01,01,01,2014_muni,girer,MICHEL,t1,,,,
01249,01700,LDVG,2014,01,01,01,2014_muni,protiere,Pascal,t2,Sylvie,VIRICEL,LDVG,24.055963053518063
01249,01700,LDVG,2014,01,01,01,2014_muni,protiere,Pascal,t2,VIRICEL,Sylvie,LDVG,24.055963053518063
01250,01600,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,SERRAT,Etienne,LDVD,73.3955659276546
01250,01600,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,CANAUD,Pierre,LDIV,26.60443407234539
01254,01250,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,CHICHOUX,Yvan,LDVD,100.0
01254,01250,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
01258,01090,LDVD,2014,01,01,01,2014_muni,deschizeaux,Jean Claude,t1,DESCHIZEAUX,Jean-Claude,LDVD,100.0
01258,01090,LDVD,2014,01,01,01,2014_muni,deschizeaux,Jean Claude,t1,,,,
01262,01120,LDVD,2014,01,01,01,2014_muni,guillot vignot,Philippe,t2,DAUBIE,Romain,LDVD,28.292070326515965
01262,01120,LDVD,2014,01,01,01,2014_muni,guillot vignot,Philippe,t2,Romain,DAUBIE,LDVD,28.292070326515965
01263,01090,LDVD,2014,01,01,01,2014_muni,deschizeaux,Jean Claude,t2,LAMURE,Raphaël,LDVD,25.130133024869867
01263,01090,LDVD,2014,01,01,01,2014_muni,deschizeaux,Jean Claude,t2,Raphaël,LAMURE,LDVD,25.130133024869867
01265,01460,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,DEGUERRY,Jean,LDVD,100.0
01265,01460,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,,,,
01266,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,ROCHE,Jean-Pierre,LDVG,67.7626303127506
01266,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,LAUBRIAT,Patrick,LDIV,32.2373696872494
01267,01460,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,BERGER,Arlette,LDVG,57.14285714285714
01267,01460,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,GENOUX,Michel,LDVD,42.857142857142854
01269,01130,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,CARMINATI,Jean-Pierre,LDVD,76.93032015065914
01269,01130,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,MERCIER,Claude,LDVG,23.069679849340865
